TAZ_REG,TAZ_OLD05,TAZ_MPO,COUNTY,CENSUSTAZ,TAZ_BF,FIX,AREA,F_NETAREA,CBD,HM_ROOMS
1122,1122,1122,1,,0,0,4442490.00000000000,0.81530,0,0
17,17,17,1,,0,0,15689400.00000000000,0.85710,0,0
1123,1123,1123,1,,0,0,17396100.00000000000,0.86630,0,0
1120,1120,1120,1,,0,0,1303420.00000000000,0.85360,0,0
1121,1121,1121,1,,0,0,31477500.00000000000,0.87870,0,0
1150,1150,1150,1,,0,0,5816000.00000000000,0.76810,0,194
1152,1152,1152,1,,0,0,695342.00000000000,0.82320,0,0
1140,1140,1140,1,,0,0,6328770.00000000000,0.55370,0,0
44,44,44,1,,0,0,3477880.00000000000,0.80790,0,105
1503,1503,1503,1,,0,0,3742760.00000000000,0.71430,0,0
1547,1547,1547,1,,0,0,965133.00000000000,0.91260,0,0
1546,1546,1546,1,,0,0,4159250.00000000000,0.91600,0,0
1103,1103,1103,1,,0,0,11610800.00000000000,0.85800,0,0
1124,1124,1124,1,,0,0,4989100.00000000000,0.81320,0,0
21,21,21,1,,0,0,7283210.00000000000,0.80420,0,0
1504,1504,1504,1,,0,0,2040540.00000000000,0.87090,0,0
842,842,842,1,,0,0,2884880.00000000000,0.83100,0,0
1505,1505,1505,1,,0,0,2431190.00000000000,0.83860,0,0
1506,1506,1506,1,,0,0,828251.00000000000,0.69790,0,0
1141,1141,1141,1,,0,0,774808.00000000000,0.76170,0,0
45,45,45,1,,0,0,28716400.00000000000,0.70690,0,0
1153,1153,1153,1,,0,0,737483.00000000000,0.87670,0,0
1154,1154,1154,1,,0,0,2340530.00000000000,0.92030,0,0
1155,1155,1155,1,,0,0,3498910.00000000000,0.74110,0,0
59,59,59,1,,0,0,6526240.00000000000,0.68380,0,53
1156,1156,1156,1,,0,0,7172870.00000000000,0.88270,0,0
42,42,42,1,,0,0,3649840.00000000000,0.89100,0,0
1507,1507,1507,1,,0,0,1944650.00000000000,0.76650,0,0
844,844,844,1,,0,0,7555770.00000000000,0.77630,0,0
1508,1508,1508,1,,0,0,4740590.00000000000,0.77530,0,0
845,845,845,1,,0,0,6169140.00000000000,0.77240,0,0
40,40,40,1,,0,0,6598680.00000000000,0.79910,0,0
1138,1138,1138,1,,0,0,8247520.00000000000,0.87940,0,0
38,38,38,1,,0,0,5205760.00000000000,0.92840,0,0
1135,1135,1135,1,,0,0,2335040.00000000000,0.90680,0,0
1137,1137,1137,1,,0,0,4996690.00000000000,0.90380,0,0
887,887,887,1,,0,0,8420410.00000000000,0.64460,0,0
1518,1518,1518,1,,0,0,13011500.00000000000,0.68280,0,0
47,47,47,1,,0,0,7960750.00000000000,0.74390,0,0
36,36,36,1,,0,0,3268970.00000000000,0.93300,0,0
1134,1134,1134,1,,0,0,2742380.00000000000,0.97090,0,0
1133,1133,1133,1,,0,0,7332520.00000000000,0.98020,0,0
1125,1125,1125,1,,0,0,10772700.00000000000,0.88470,0,0
27,27,27,1,,0,0,6370440.00000000000,0.91220,0,0
1126,1126,1126,1,,0,0,9109110.00000000000,0.96230,0,0
37,37,37,1,,0,0,2216130.00000000000,0.90680,0,0
1136,1136,1136,1,,0,0,10523500.00000000000,0.92050,0,0
1131,1131,1131,1,,0,0,3003630.00000000000,0.89310,0,0
