"","TAZ","hh","pop","emp","zero_auto","AGE0TO17","AGE18TO24","AGE25TO34","AGE35TO49","AGE50TO64","AGE65TO79","AGE80PLUS","INCOME_25K","INCOME_50K","INCOME_75K","INCOME_100K","INCOME_100KPLUS"
"1",1,682,1487,14,0,217.330769230769,68.6307692307692,137.261538461538,240.207692307692,377.469230769231,285.961538461538,160.138461538461,109.607142857143,292.285714285714,109.607142857143,97.4285714285714,73.0714285714286
"2",2,825,1689,86,3,283.316129032258,76.2774193548387,305.109677419355,381.387096774194,272.41935483871,283.316129032258,87.1741935483872,235.714285714286,255.357142857143,157.142857142857,127.678571428571,49.1071428571429
"3",3,886,2066,123,3,430.824644549763,78.3317535545024,176.24644549763,411.241706161137,548.322274881517,293.744075829384,127.289099526066,219.011235955056,199.101123595506,129.415730337079,189.14606741573,149.325842696629
"4",4,834,1920,297,2,252,60,168,396,480,384,180,227.454545454545,151.636363636364,184.12987012987,151.636363636364,119.142857142857
"5",5,1201,2765,602,3,468.056426332288,147.351097178683,216.692789968652,719.420062695925,684.74921630094,364.043887147335,164.686520376176,257.357142857143,291.671428571429,231.621428571429,265.935714285714,154.414285714286
"6",6,224,411,438,0,65.76,16.44,41.1,57.54,41.1,139.74,49.3199999999999,17.92,71.68,62.72,26.88,44.8
"7",7,461,844,681,0,99.8279569892473,36.3010752688172,54.4516129032258,136.129032258065,245.032258064516,208.731182795699,63.5268817204301,51.2222222222222,110.981481481481,110.981481481481,145.12962962963,42.6851851851852
"8",8,264,475,205,1,62.5,0,37.5,50,125,150,50,34.4347826086956,68.8695652173913,114.782608695652,22.9565217391304,22.9565217391304
"9",9,67,128,47,0,38.7878787878788,19.3939393939394,15.5151515151515,27.1515151515152,15.5151515151515,7.75757575757576,3.87878787878788,0,13.4,20.1,13.4,20.1
"10",10,378,693,64,1,77,0,89.8333333333333,128.333333333333,231,141.166666666667,25.6666666666665,34.3636363636364,68.7272727272727,103.090909090909,114.545454545455,57.2727272727273
"11",11,174,330,42,0,13.75,0,0,13.75,151.25,123.75,27.5,0,46.4,46.4,23.2,58
"12",12,8,13,6,0,0,0,0,0,0,0,13,0,0,8,0,0
"13",13,0,0,683,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,88,171,171,0,21.375,0,10.6875,32.0625,64.125,21.375,21.375,0,19.5555555555556,29.3333333333333,29.3333333333333,9.77777777777777
"15",15,201,558,160,0,108,54,90,198,108,0,0,33.5,33.5,33.5,33.5,67
"16",16,97,272,19,2,60.4444444444444,0,10.0740740740741,50.3703703703704,80.5925925925926,40.2962962962963,30.2222222222222,0,48.5,9.7,19.4,19.4
"17",17,449,1174,142,0,276.235294117647,108.521008403361,108.521008403361,315.697478991597,276.235294117647,88.7899159663866,0,59.8666666666667,99.7777777777778,149.666666666667,109.755555555556,29.9333333333333
"18",18,267,719,44,3,148.758620689655,74.3793103448276,161.155172413793,105.370689655172,142.560344827586,55.7844827586207,30.9913793103449,82.1538461538461,68.4615384615385,47.9230769230769,41.0769230769231,27.3846153846154
"19",19,279,762,277,3,164.756756756757,72.0810810810811,82.3783783783784,216.243243243243,175.054054054054,41.1891891891892,10.2972972972974,93,62,31,62,31
"20",20,304,853,2230,2,252.191304347826,103.84347826087,163.182608695652,148.347826086957,118.678260869565,51.9217391304348,14.8347826086956,98.0645161290323,68.6451612903226,29.4193548387097,78.4516129032258,29.4193548387097
"21",21,601,1676,390,2,325.888888888889,232.777777777778,232.777777777778,381.755555555556,335.2,139.666666666667,27.9333333333329,155.431034482759,176.155172413793,41.448275862069,145.068965517241,82.8965517241379
"22",22,296,819,300,3,204.75,32.3289473684211,96.9868421052632,215.526315789474,150.868421052632,64.6578947368421,53.8815789473684,98.6666666666667,54.8148148148148,21.9259259259259,76.7407407407407,43.8518518518518
"23",23,912,1870,202,1,381.090047393365,53.175355450237,194.976303317536,381.090047393365,301.327014218009,381.090047393365,177.251184834123,349.276595744681,58.2127659574468,261.957446808511,174.63829787234,67.9148936170211
"24",24,303,712,140,1,192.432432432432,38.4864864864865,76.972972972973,240.540540540541,115.459459459459,38.4864864864865,9.62162162162167,58.6451612903226,39.0967741935484,97.741935483871,39.0967741935484,68.4193548387097
"25",25,804,1909,301,1,437.479166666667,69.5989583333333,288.338541666667,616.447916666667,357.9375,99.4270833333333,39.7708333333333,49.0243902439024,382.390243902439,107.853658536585,176.487804878049,88.2439024390244
"26",26,637,1927,70,1,598.785310734463,141.531073446328,195.966101694915,544.350282485876,315.723163841808,119.757062146893,10.8870056497176,0,237.525423728814,129.559322033898,151.152542372881,118.762711864407
"27",27,280,280,188,1,14,154,112,0,0,0,0,NA,NA,NA,NA,NA
"28",28,252,596,1992,0,42.5714285714286,21.2857142857143,63.8571428571429,149,21.2857142857143,276.714285714286,21.2857142857142,103.764705882353,44.4705882352941,44.4705882352941,29.6470588235294,29.6470588235294
"29",29,200,474,37,1,118.5,29.625,44.4375,111.09375,74.0625,44.4375,51.84375,41.6666666666667,58.3333333333333,58.3333333333333,25,16.6666666666667
"30",30,128,289,155,0,56.5434782608696,12.5652173913043,37.695652173913,69.1086956521739,75.3913043478261,18.8478260869565,18.8478260869565,18.2857142857143,24.3809523809524,30.4761904761905,24.3809523809524,30.4761904761905
"31",31,0,0,181,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,495,1194,66,5,238.8,34.1142857142857,90.9714285714286,375.257142857143,159.2,238.8,56.8571428571429,52.6595744680851,210.63829787234,94.7872340425532,52.6595744680851,84.2553191489362
"33",33,155,338,91,0,52.8125,0,63.375,42.25,147.875,10.5625,21.125,0,17.2222222222222,51.6666666666667,51.6666666666667,34.4444444444445
"34",34,156,340,22,0,81.6,13.6,61.2,61.2,88.4,13.6,20.4,15.6,23.4,62.4,15.6,39
"35",35,828,2022,96,3,559.276595744681,53.7765957446808,193.595744680851,537.765957446809,408.702127659574,182.840425531915,86.0425531914893,81.6338028169014,384.845070422535,163.267605633803,81.6338028169014,116.619718309859
"36",36,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,0,0,379,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
