"TAZ","households"
1,4
2,14
3,9
4,9
5,14
6,0
7,2
8,1
9,0
10,2
11,0
12,0
14,0
15,2
16,0
17,2
18,7
19,3
20,4
21,3
22,6
23,18
24,4
25,1
26,0
27,0
28,2
29,2
30,1
32,0
33,0
34,3
35,2
38,0
39,1
40,3
41,2
43,3
44,0
45,2
46,3
47,2
48,3
49,2
50,9
52,6
53,0
54,0
56,1
58,3
59,0
60,3
61,6
62,2
63,2
64,6
65,1
66,5
67,5
68,0
69,0
71,3
72,0
73,4
74,2
76,1
77,3
78,5
79,4
80,9
81,0
82,0
83,1
84,0
85,0
86,1
87,2
91,6
92,4
93,3
94,2
95,10
96,2
97,1
98,2
99,5
101,1
102,4
103,3
104,4
105,9
106,4
107,7
108,6
109,0
110,2
111,0
112,3
114,7
118,13
119,9
120,1
121,5
122,9
124,0
125,4
126,12
127,8
128,7
129,15
131,6
132,8
134,4
137,24
138,6
140,9
141,4
142,0
144,1
145,11
146,4
147,1
149,15
150,15
151,5
152,4
153,13
154,9
156,7
157,4
158,5
160,36
165,2
166,3
167,2
168,18
169,6
170,20
171,9
172,3
174,13
175,115
178,4
181,5
184,25
185,4
186,5
187,12
188,7
189,8
190,14
191,9
192,10
194,2
195,2
198,0
199,3
201,9
202,0
203,0
204,7
205,7
206,1
207,0
210,0
211,0
213,6
215,2
216,0
217,14
218,12
219,6
220,9
221,10
222,1
224,9
225,6
226,1
227,7
228,6
229,3
230,4
231,4
240,1
242,4
243,5
244,3
245,2
246,2
247,2
248,3
249,1
250,0
251,0
252,1
253,0
254,1
255,2
256,1
257,0
258,7
259,9
260,1
261,3
262,5
264,2
265,1
266,10
267,12
268,11
269,1
270,5
271,1
272,1
273,1
274,0
276,1
277,6
278,11
279,0
280,5
281,13
282,3
283,2
284,8
285,9
286,12
287,20
288,5
289,12
290,8
291,11
292,11
293,18
294,4
295,4
296,6
297,5
298,2
299,12
300,8
301,4
302,7
303,6
304,3
305,1
306,5
307,1
308,5
309,3
310,2
311,0
312,3
313,0
314,16
315,3
317,3
318,11
319,5
320,0
321,7
322,12
323,3
324,3
325,11
326,2
327,10
328,11
329,10
330,2
331,14
332,4
333,2
334,6
335,27
336,1
338,12
339,23
341,3
342,25
343,13
344,12
345,11
346,23
347,7
348,8
349,5
350,10
351,3
352,9
353,9
354,7
355,5
356,7
357,6
358,3
359,6
360,6
361,4
362,9
363,5
364,0
368,12
369,13
370,2
371,9
372,20
373,21
374,5
375,6
376,13
377,4
378,21
379,13
380,4
381,3
382,9
383,9
384,3
385,5
386,0
387,0
388,3
389,0
390,0
391,2
392,3
393,7
394,15
395,18
396,1
397,14
398,5
399,20
400,10
401,5
402,18
403,14
404,5
405,3
406,3
407,3
408,13
409,1
410,14
412,21
413,11
414,7
415,3
416,5
417,6
418,4
419,0
420,0
421,4
422,3
423,3
424,5
425,4
426,9
427,4
428,10
429,0
430,2
431,3
432,0
433,3
434,4
435,4
436,5
437,1
438,0
439,4
440,1
441,0
442,1
443,5
444,4
445,4
446,16
447,1
448,8
449,4
450,1
451,2
452,3
453,4
454,3
455,2
456,1
457,11
458,2
459,3
460,2
461,3
462,4
463,5
464,5
465,3
466,29
467,9
468,5
469,43
470,13
471,1
472,2
473,5
474,37
475,5
476,1
477,6
478,7
479,3
480,5
482,0
483,3
485,0
487,2
488,6
489,5
490,4
491,3
492,0
493,1
494,4
496,13
497,1
498,8
499,15
500,6
501,2
502,13
503,5
504,4
505,6
506,4
507,2
508,17
509,5
510,8
511,14
512,8
513,7
514,1
515,11
516,5
517,4
518,0
519,3
520,0
521,0
522,1
523,0
525,2
526,5
527,0
528,1
529,3
530,3
532,5
533,4
535,1
537,1
538,1
539,1
540,0
541,0
542,0
543,4
544,3
545,3
546,1
547,2
548,8
549,3
552,3
553,13
554,3
555,1
556,5
557,0
558,7
559,6
560,20
561,6
562,12
563,0
564,0
565,0
566,7
567,1
571,4
572,13
573,4
574,0
576,1
577,1
578,2
579,3
580,7
581,10
582,1
583,6
584,4
585,0
587,5
589,4
591,3
592,2
593,4
594,2
598,1
600,4
601,0
603,1
604,5
605,1
606,0
607,18
608,3
609,1
610,0
611,0
612,0
613,1
614,1
617,0
619,7
620,4
621,5
622,0
623,3
624,1
625,1
626,3
627,6
629,11
631,3
632,9
634,1
635,2
636,4
637,7
638,4
639,0
640,2
641,2
642,2
643,1
644,6
645,2
646,0
647,1
648,2
649,5
650,9
651,7
653,2
654,1
655,0
656,3
657,3
658,0
659,1
660,3
661,16
662,2
663,2
664,0
665,9
666,1
667,4
668,6
669,1
670,5
671,2
672,5
673,1
674,2
675,3
676,1
677,1
678,0
679,8
680,12
681,2
682,5
683,1
684,1
685,20
686,10
687,23
689,4
690,3
691,13
692,17
693,1
694,4
696,4
698,1
699,6
700,3
701,0
702,0
703,2
704,4
705,0
706,1
707,1
708,0
709,1
710,3
711,2
712,0
713,3
714,4
715,3
716,1
717,2
718,3
719,1
720,1
721,0
722,0
724,3
726,0
727,4
