"ID","Longitude","Latitude","TAZ_REG","TAZ_OLD05","TAZ_MPO","COUNTY","CENSUSTAZ","TAZ_BF","FIX","AREA","F_NETAREA","CBD","HM_ROOMS","AirSageDistrict"
2605,-80294737,25967739,2766.000000,0,866,2.000000,,2666,0,11640700.00000000000,0.967400,0,0,2
2731,-80434896,25945016,2901.000000,0,1,3.000000,"1208600000001",2801,0,22197100.00000000000,0.905100,0,0,2
2732,-80345771,25905854,2910.000000,0,10,3.000000,"1208600000010",2810,0,16113500.00000000000,0.724100,0,0,2
2733,-80171815,25932677,3000.000000,0,100,3.000000,"1208600000100",2900,0,4736470.00000000000,0.766700,0,0,3
2734,-80333621,25748946,3900.000000,0,1000,3.000000,"1208600001000",3800,0,1234420.00000000000,0.788000,0,0,601
2735,-80333593,25746461,3901.000000,0,1001,3.000000,"1208600001001",3801,0,1244730.00000000000,0.894600,0,0,601
2736,-80331634,25744140,3902.000000,0,1002,3.000000,"1208600001002",3802,0,5802060.00000000000,0.711300,0,0,601
2737,-80331621,25736844,3903.000000,0,1003,3.000000,"1208600001003",3803,0,7200390.00000000000,0.738300,0,0,62
2738,-80331462,25728676,3904.000000,0,1004,3.000000,"1208600001004",3804,0,8728810.00000000000,0.778700,0,0,62
2739,-80331012,25720707,3905.000000,0,1005,3.000000,"1208600001005",3805,0,7244910.00000000000,0.290800,0,0,62
2740,-80329384,25712087,3906.000000,0,1006,3.000000,"1208600001006",3806,0,6125500.00000000000,0.826800,0,0,5
2741,-80325834,25712463,3907.000000,0,1007,3.000000,"1208600001007",3807,0,24503600.00000000000,0.826800,0,0,5
2742,-80325686,25699085,3908.000000,0,1008,3.000000,"1208600001008",3808,0,14426400.00000000000,0.798400,0,0,5
2743,-80325665,25693671,3909.000000,0,1009,3.000000,"1208600001009",3809,0,6219680.00000000000,0.719600,0,0,5
2744,-80166192,25930796,3001.000000,0,101,3.000000,"1208600000101",2901,0,3968590.00000000000,0.673500,0,0,3
2745,-80327600,25690170,3910.000000,0,1010,3.000000,"1208600001010",3810,0,3899940.00000000000,0.743000,0,0,5
