"ID","Length","Dir","A","B","CONUM","DISTANCE","SCREENLINE","NUM_LANES","TWOWAY","DIRCODE","LOCATION","SEGID","CARTOLL","SVCMINUTES","SVCSECONDS","FTC2","DIVIDED","LEFTTURN","TDSECID","HOT","REVERSIBLE","ISTOLL","COUNT10","ISRCTOLLLI","ISREQTLINK","FTG","ATG","CNT10_EA","CNT10_AM","CNT10_MID","CNT10_PM","CNT10_EVE","CNT10_TRK","LOCTN","AM_VCLOSE","OF_VCLOSE","PM_VCLOSE","CYCLELENGT","RMPMTRIND","RIGHTTURN","AUXLNDIST","FTC1","CAPACITY_D","CAPACITY","CONFAC24H","BPRCOEFFIC","BPREXPONEN","CONFACAMP","CONFACPMP","CONFACOFP","LOSCCAP","LOSCCAP_AM","LOSCCAP_PM","LOSCCAP_OF","TOLL_ACC","TOLL_DEC","RCTOLL","FFSPD","POSTEDSPEE","FREEFLOWSP","POSTEDTIME","FREEFLOWTI","TIME","NB_95X","SB_95X","AM_CONGTIM","OF_CONGTIM","PM_CONGTIM","AM_TRK","PM_TRK","OF_TRK","DAY_V_1","EA_V_1","AM_V_1","MD_V_1","PM_V_1","EV_V_1","AM_V","MD_V","PM_V","EV_V","EA_V","DAY_TRK","AM_DAVOL","AM_SR2VOL","AM_SR3VOL","PM_DAVOL","PM_SR2VOL","PM_SR3VOL","OF_DAVOL","OF_SR2VOL","OF_SR3VOL","CNT_TOT","CNT_Diff","pb_count_locations","index_label"
2405,0.243177,0,1212,1214,3,0.243200,99,3,1,0,3,719,0.000000,0,0,41,1,1,0,0,0,0,27500,0,0,4,4,2641,2126,7485,9916,5333,0,1071,0.270360,0.650110,1.292020,90,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,34.781560,45.000000,34.780000,0.324270,0.419550,0.419550,0,0,0.419860,0.445780,1.261070,214.648330,352.211820,860.416750,29658.613280,3142.223140,1825.105470,8072.237790,10905.591800,5713.454590,1932.429690,8363.958980,11081.697270,5778.908690,3215.256100,1427.276860,1125.191410,338.488070,146.777710,8698.132810,1333.321900,521.925110,12916.382810,2325.942630,825.173460,27501,-1,25,7
1513,0.308637,0,898,1707,3,0.308600,99,3,1,0,3,859,0.000000,0,0,61,1,1,0,0,0,0,15000,0,0,6,3,0,0,0,0,0,0,4027,0.625000,0.516340,0.488510,60,0,0,0,60,1707.000000,1950.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,1755.000000,5111.700200,5111.700200,15260.869140,0,0,0.079000,40.870580,45.000000,40.870000,0.411470,0.453050,0.453050,0,0,0.476680,0.463950,0.461760,149.838410,236.268390,261.725740,13950.741210,1731.469970,2971.966800,4449.734860,2739.626950,2057.942870,3046.885990,4530.875000,2857.760990,2084.053710,1755.082030,647.832520,2219.697270,414.285710,188.145490,2098.089840,302.862850,102.405780,6366.932130,1251.291020,359.198760,0,15000,29,
3751,0.308637,0,1707,898,3,0.308600,99,3,1,0,3,859,0.000000,0,0,61,1,1,0,0,0,0,15000,0,0,6,3,0,0,0,0,0,0,4028,0.310670,0.444650,0.371360,60,0,0,0,60,1707.000000,1950.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,1755.000000,5111.700200,5111.700200,15260.869140,0,0,0.079000,39.313140,45.000000,39.310000,0.411470,0.471030,0.471030,0,0,0.472470,0.477210,0.474010,305.761230,351.735840,266.322630,9257.607420,776.714000,1361.633060,3813.958740,1996.561400,1308.740480,1514.513670,3901.815430,2172.429440,1332.356080,798.403000,923.819700,937.497250,100.053340,18.321250,1266.256350,257.819370,120.749810,4641.942380,767.565800,223.582500,0,15000,29,
2419,0.292671,0,1216,1217,3,0.292600,99,3,1,0,3,719,0.000000,0,0,41,1,1,0,0,0,0,28000,0,0,4,3,2674,6013,9694,6092,3528,0,1092,0.846590,0.783500,0.748030,90,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,34.781560,45.000000,34.780000,0.390130,0.504770,0.504770,0,0,0.624510,0.585750,0.568860,131.447830,394.481140,812.040160,28417.156250,2791.754000,5985.287600,9814.546880,6218.598630,3606.968990,6051.011230,10080.180660,6415.839360,3678.820560,2860.289000,1337.969120,4926.036130,705.010800,222.792570,4564.150880,836.447140,423.519680,12111.460940,2388.001460,901.767460,28001,-1,26,
2417,0.338680,0,1215,1216,3,0.338700,99,3,1,0,3,719,0.000000,0,0,41,1,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1094,0.730730,0.646780,0.677070,90,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,35.505690,45.000000,35.510000,0.451600,0.572290,0.572290,0,0,0.636850,0.607150,0.616210,118.461170,355.295650,698.472720,23584.312500,2039.021000,5163.638670,8091.004390,5629.619140,2661.029050,5222.869140,8321.177730,5807.267090,2722.256100,2096.857500,1172.229490,4263.268550,586.154300,195.754820,4118.587890,739.940980,415.794980,9747.138670,1813.563350,531.880000,0,0,26,
1088,0.096577,0,654,1779,3,0.096600,99,3,1,0,3,723,0.000000,0,0,61,1,1,47,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0.521670,0.452490,0.398050,60,0,0,0,60,1707.000000,1950.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,1755.000000,5111.700200,5111.700200,15260.869140,0,0,0.079000,25.949140,30.000000,25.950000,0.193200,0.223350,0.223350,0,0,0.228960,0.226500,0.225230,142.391390,119.589940,294.235290,10977.121090,1137.221000,2471.928470,3857.040040,2268.770020,1242.161620,2543.124020,3970.602540,2328.564940,1256.349240,1156.588500,556.216610,1930.716670,302.602260,96.218090,1540.305300,374.212460,234.662260,4511.057620,1018.038570,413.091340,0,0,1,
3427,0.067301,0,1557,1562,3,0.067200,99,2,1,0,3,859,0.000000,0,0,61,1,1,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,4033,0.930040,0.701640,0.840710,60,0,0,0,60,1138.000000,1300.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,1170.000000,3407.800050,3407.800050,10173.913090,0,0,0.079000,37.349340,45.000000,37.350000,0.089600,0.107950,0.107950,0,0,0.136120,0.116950,0.126660,131.882370,188.129390,209.253360,13478.256840,1410.948000,2956.686770,4045.933840,3184.718990,1879.968990,3022.627930,4104.600100,3278.783690,1901.049800,1435.827510,529.265140,2168.985350,454.383700,201.435490,2493.138430,353.127500,150.323730,5583.077150,1201.477420,343.042790,0,0,30,
3437,0.067301,0,1562,1557,3,0.067200,99,2,1,0,3,859,0.000000,0,0,61,1,1,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,4034,0.753580,0.735420,0.828080,60,0,0,0,60,1138.000000,1300.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,1170.000000,3407.800050,3407.800050,10173.913090,0,0,0.079000,37.349340,45.000000,37.350000,0.089600,0.107950,0.107950,0,0,0.119970,0.118840,0.125550,351.509250,452.607420,349.713930,12034.424800,969.385000,2273.366210,4187.416500,3003.202640,1601.054200,2449.120610,4302.222170,3229.506100,1629.312620,1001.178000,1153.830570,1695.908330,187.361330,38.587260,1950.335210,422.473050,177.786800,5180.556640,904.719790,322.865510,0,0,30,
3436,0.186729,0,1561,1562,3,0.186640,99,2,1,0,3,859,0.000000,0,0,61,1,1,0,0,0,0,11950,0,0,6,3,917,2495,3468,3807,1263,0,0,0.753580,0.735420,0.828080,60,0,0,0,60,1138.000000,1300.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,1170.000000,3407.800050,3407.800050,10173.913090,0,0,0.079000,37.349340,45.000000,37.350000,0.248850,0.299820,0.299820,0,0,0.333190,0.330050,0.348700,351.509250,452.607420,349.713930,12034.424800,969.385000,2273.366210,4187.416500,3003.202640,1601.054200,2449.120610,4302.222170,3229.506100,1629.312620,1001.178000,1153.830570,1695.908330,187.361330,38.587260,1950.335210,422.473050,177.786800,5180.556640,904.719790,322.865510,11950,0,30,
3438,0.186729,0,1562,1561,3,0.186640,99,2,1,0,3,859,0.000000,0,0,61,1,1,0,0,0,0,11950,0,0,6,3,750,2971,3679,3448,1103,0,0,0.930040,0.701640,0.840710,60,0,0,0,60,1138.000000,1300.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,1170.000000,3407.800050,3407.800050,10173.913090,0,0,0.079000,37.349340,45.000000,37.350000,0.248850,0.299820,0.299820,0,0,0.378050,0.324810,0.351790,131.882370,188.129390,209.253360,13478.256840,1410.948000,2956.686770,4045.933840,3184.718990,1879.968990,3022.627930,4104.600100,3278.783690,1901.049800,1435.827510,529.265140,2168.985350,454.383700,201.435490,2493.138430,353.127500,150.323730,5583.077150,1201.477420,343.042790,11951,-1,30,
